datum;plaats;afstand;addfeat_asphalt;addfeat_forest;addfeat_dunes;addfeat_temp;addfeat_sky;addfeat_windsp;addfeat_winddir;addfeat_humid
20-12-2024 15:38;Kempen ;11.54;1;0;0;6.1;bewolkt;20;zzw;0.87
12-12-2024 13:54;Kempen ;11.46;1;0;0;2.8;mist;2;nnw;1
3-12-2024 15:56;Loon op Zand ;10.08;0.64;0.12;0.24;6.7;bewolkt;11;nw;0.74
26-11-2024 15:56;Loon op Zand ;10.31;0.64;0.12;0.24;9.4;bewolkt;11;zzw;0.84
19-11-2024 16:06;Loon op Zand ;9.88;0.64;0.12;0.24;3.9;bewolkt;11;nnw;0.92
5-11-2024 16:07;Loon op Zand ;9.77;0.64;0.12;0.24;5.6;mist;11;zw;0.97
29-10-2024 16:00;Loon op Zand ;9.91;0.64;0.12;0.24;12.8;mist;11;zzw;0.99
23-10-2024 12:35;Montaione ;2.72;0.5;0.5;0;18.9;regen;7;zo;0.88
8-10-2024 16:29;Loon op Zand ;9.82;0.64;0.12;0.24;18.3;bewolkt;19;z;0.7
1-10-2024 16:09;Loon op Zand ;9.88;0.64;0.12;0.24;14.4;bewolkt;15;zzw;0.81
17-9-2024 15:53;Loon op Zand ;9.79;0.64;0.12;0.24;21.1;zon;22;ono;0.58
15-9-2024 12:25;Oosterhout ;7.46;0.4;0.4;0.2;16.1;bewolkt;7;zw;0.77
10-9-2024 15:36;Loon op Zand ;9.82;0.64;0.12;0.24;15.6;mist;19;zzw;0.93
8-9-2024 13:36;Veldhoven ;7.79;1;0;0;21.1;bewolkt;19;z;0.56
3-9-2024 16:39;Loon op Zand ;9.7;0.64;0.12;0.24;22.8;bewolkt;7;zzw;0.83
18-8-2024 09:47;Veldhoven ;8.15;1;0;0;21.1;bewolkt;2;ozo;0.78
16-8-2024 15:22;Gennep ;4.38;1;0;0;21.1;regen;17;zzw;0.88
16-8-2024 12:06;Gennep ;5.88;0.49;0.51;0;22.2;half_bewolkt;17;zzw;0.78
27-7-2024 12:20;Oberbronn ;3.13;1;0;0;22.8;zon;4;n;0.83
22-7-2024 17:16;Kempen ;7.48;1;0;0;23.9;bewolkt;19;zw;0.54
11-6-2024 16:12;Kempen ;3.93;1;0;0;12.2;regen;20;wzw;0.67
6-6-2024 16:11;Kempen ;11.46;1;0;0;17.2;bewolkt;7;wzw;0.52
