Activiteittype;Datum;Favoriet;Titel;Afstand;Calorieën;Tijd;Gem. HS;Max. HS;Training effect aeroob;Gem. loopcadans;Max. loopcadans;Gemiddeld tempo;Beste tempo;Totale stijging;Totale daling;Gem. staplengte;Gemiddelde verticale ratio;Gem. verticale oscillatie;Gem. grondcontacttijd;Gem. GAP;Normalized Power® (NP®);Training Stress Score®;Gem. vermogen;Max. vermogen;Decompressie;Beste rondetijd;Aantal ronden;Tijd bewogen;Verstreken tijd;Minimum hoogte;Maximum hoogte
Hardlopen;20-12-2024 15:38;FALSE;Waalre Hardlopen;11.54;894;01:02:02;172;183;5.0;161;170;05:22;04:54;13;25;1.15;8.4;9.7;274;05:24;372;0.0;370;460;Nee;00:02:51.3;12;01:01:59;01:02:02;13;31
Hardlopen;12-12-2024 13:54;FALSE;Waalre Hardlopen;11.46;903;01:02:42;178;186;5.0;158;165;05:28;04:55;15;23;1.14;8.5;9.7;279;05:29;359;0.0;357;458;Nee;00:02:32.1;12;01:02:40;01:02:42;16;30
Hardlopen;3-12-2024 15:56;FALSE;Loon op Zand Hardlopen;10.08;787;00:57:14;173;183;5.0;160;167;05:41;04:59;31;34;1.10;8.7;9.5;282;05:40;351;0.0;346;570;Nee;00:00:26.3;11;00:57:12;00:57:14;-1;14
Hardlopen;26-11-2024 15:56;FALSE;Loon op Zand Hardlopen;10.31;833;01:00:05;176;188;5.0;159;165;05:50;04:59;35;36;1.08;8.8;9.5;286;05:49;343;0.0;338;521;Nee;00:01:51.0;11;01:00:02;01:00:05;11;25
Hardlopen;19-11-2024 16:06;FALSE;Loon op Zand Hardlopen;9.88;838;00:58:53;182;191;5.0;158;165;05:58;04:54;33;38;1.06;8.9;9.4;289;05:58;339;0.0;333;513;Nee;00:05:13.6;10;00:58:51;00:58:53;0;18
Hardlopen;5-11-2024 16:07;FALSE;Loon op Zand Hardlopen;9.77;819;00:56:32;181;191;5.0;159;165;05:47;05:01;42;42;1.09;8.8;9.5;285;05:47;346;0.0;340;536;Nee;00:04:34.1;10;00:56:29;00:56:32;1;15
Hardlopen;29-10-2024 16:00;FALSE;Loon op Zand Hardlopen;9.91;820;00:58:03;175;185;5.0;159;170;05:51;05:00;35;36;1.08;8.8;9.5;286;05:50;343;0.0;337;517;Nee;00:05:17.0;10;00:58:00;00:58:03;11;25
Hardlopen;23-10-2024 12:35;FALSE;Montaione Hardlopen;2.72;256;00:20:03;154;182;3.4;146;183;07:23;05:18;120;154;0.94;9.1;8.4;294;06:18;325;0.0;289;506;Nee;00:04:59.2;3;00:19:48;00:20:03;112;265
Hardlopen;8-10-2024 16:29;FALSE;Loon op Zand Hardlopen;9.82;819;00:57:25;176;186;5.0;159;167;05:51;04:59;34;45;1.08;8.8;9.5;286;05:51;349;0.0;342;532;Nee;00:04:51.9;10;00:57:22;00:57:25;-3;15
Hardlopen;1-10-2024 16:09;FALSE;Loon op Zand Hardlopen;9.88;792;00:55:42;171;182;5.0;160;167;05:38;05:06;33;33;1.11;8.6;9.6;282;05:38;353;0.0;349;547;Nee;00:04:54.9;10;00:55:39;00:55:42;8;21
Hardlopen;17-9-2024 15:53;FALSE;Loon op Zand Hardlopen;9.79;772;00:55:16;169;182;5.0;160;165;05:39;05:04;40;48;1.11;8.6;9.5;281;05:39;361;0.0;356;546;Nee;00:04:29.3;10;00:55:14;00:55:16;--;16
Hardlopen;15-9-2024 12:25;FALSE;Oosterhout Hardlopen;7.46;533;00:39:23;159;179;5.0;163;169;05:17;04:52;25;17;1.16;8.3;9.6;270;05:17;375;0.0;373;464;Nee;00:02:25.4;8;00:39:20;00:39:23;0;10
Hardlopen;10-9-2024 15:36;FALSE;Loon op Zand Hardlopen;9.82;791;00:56:46;171;181;5.0;159;169;05:47;05:02;36;37;1.09;8.8;9.5;284;05:46;347;0.0;341;547;Nee;00:04:44.0;10;00:56:42;00:56:46;11;25
Hardlopen;8-9-2024 13:36;FALSE;Veldhoven Hardlopen;7.79;597;00:41:29;171;182;5.0;161;168;05:19;04:41;8;9;1.17;8.4;9.7;274;05:21;362;0.0;363;437;Nee;00:04:03.4;8;00:41:26;00:41:45;20;27
